,DocID,Tweet,Username,Date,Hashtags,Likes,Retweets,Url
36,doc_37,vent inspir everi convers mother disconnect real florida hurricaneian,sandtrooper320,Fri Sep 30 18:36:53 +0000 2022,"['florida', 'HurricaneIan']",1,0,https://twitter.com/sandtrooper320/status/1575917614194647045
37,doc_38,power hurricaneian,QuietGirl1992,Fri Sep 30 18:36:38 +0000 2022,['HurricaneIan'],0,0,https://twitter.com/QuietGirl1992/status/1575917551267332104
38,doc_39,final enough cell signal hurricaneian see damag crazi fine tree,JustBeingJessFL,Fri Sep 30 18:36:28 +0000 2022,['HurricaneIan'],0,0,https://twitter.com/JustBeingJessFL/status/1575917512922783744
39,doc_40,florida love publix hurricaneian,MomAgainstMedia,Fri Sep 30 18:36:26 +0000 2022,"['Florida', 'HurricaneIan']",0,0,https://twitter.com/MomAgainstMedia/status/1575917502554513408
40,doc_41,import updat regard hurricaneian ecuicymi fall open hous eastcarolina postpon happen nov 5 univers mention famili need reregist event inform see tweet,ecustepp,Fri Sep 30 18:36:20 +0000 2022,"['HurricaneIan', 'ECU', 'ICYMI']",0,0,https://twitter.com/ecustepp/status/1575917476382056449
41,doc_42,need road onstar advisor help rout assist push blue onstar button say advisor hurricaneian besafeoutther,OnStar,Fri Sep 30 18:36:18 +0000 2022,"['OnStar', 'HurricaneIan', 'BeSafeOutThere']",0,0,https://twitter.com/OnStar/status/1575917468996239360
42,doc_43,donat need also accept monetari donat websit addit inform make monetari donat pleas get touch debo ofsowitz 4078804673 ext 227hurricaneian hopecommunitycent staysaf,HCCapopka,Fri Sep 30 18:36:17 +0000 2022,"['HurricaneIan', 'HopeCommunityCenter', 'StaySafe']",0,0,https://twitter.com/HCCapopka/status/1575917464793366551
43,doc_44,everyon complain weekend hhn31 fair whatev hope realiz probabl go get event worst instead rework get best hurricaneian halloweenhorrornight hhnhottak,ohtownx,Fri Sep 30 18:36:14 +0000 2022,"['HHN31', 'HurricaneIan', 'halloweenhorrornights', 'HHNhottakes']",0,0,https://twitter.com/ohtownx/status/1575917454089338880
44,doc_45,lan back cat make landfal palmetto state would first hurrican hit sinc 2016 hurricaneian southcarolina,Koopwines,Fri Sep 30 18:36:13 +0000 2022,"['HurricaneIan', 'SouthCarolina']",0,1,https://twitter.com/Koopwines/status/1575917448045502464
45,doc_46,safe well valor robot team made hurricaneian minim facil damag loss power internet 13,valor_robotics,Fri Sep 30 18:36:04 +0000 2022,['HurricaneIan'],1,0,https://twitter.com/valor_robotics/status/1575917411001200640
46,doc_47,old girl even stand chanc hurricaneian charleston,RyanSienk,Fri Sep 30 18:36:03 +0000 2022,"['HurricaneIan', 'Charleston']",1,0,https://twitter.com/RyanSienk/status/1575917406773354497
47,doc_48,send love prayer south carolina hurricaneian,step_gabriella,Fri Sep 30 18:36:02 +0000 2022,['HurricaneIan'],0,0,https://twitter.com/step_gabriella/status/1575917402663006208
48,doc_49,cannot believ biden took credit everyth desanti state offici done worst part peopl believ polit besid think republican threat nation hurricaneian,E4ZZ8M,Fri Sep 30 18:35:55 +0000 2022,['HurricaneIan'],0,0,https://twitter.com/E4ZZ8M/status/1575917373395439616
49,doc_50,fort myer see everywher live report start 3pm wsbtv channel 2 wftv channel 9 hurricaneian florida fortmyer,jesteveztv,Fri Sep 30 18:35:54 +0000 2022,"['HurricaneIan', 'florida', 'fortmyers']",1,0,https://twitter.com/jesteveztv/status/1575917368152203264
50,doc_51,hurrican ian probabl final clip today went outsid took footag peak charleston luck florida got much wors hurricaneian hurricanian hurricaneian hurricaneianupd charlestonsc follow back fellow prepper,IamOnYoutube1,Fri Sep 30 18:35:50 +0000 2022,"['HurricaneIan', 'HurricanIan', 'Hurricane_Ian', 'HurricaneIanupdate', 'Charlestonsc']",1,0,https://twitter.com/IamOnYoutube1/status/1575917353992622080
51,doc_52,hurricaneian offici made landfal near georgetown southcarolina categori 1 hurrican maximum sustain wind around 85 mph ian,WesCallison,Fri Sep 30 18:35:50 +0000 2022,"['HurricaneIan', 'Georgetown', 'SouthCarolina', 'hurricane', 'Ian']",0,0,https://twitter.com/WesCallison/status/1575917350930419712
52,doc_53,hoopstingley well least know would find real woman chick dick putin ponniyinselvan vp ukrainewar hurricaneian,HarryB808080,Fri Sep 30 18:35:50 +0000 2022,"['Putin', 'PonniyinSelvan', 'UkraineWar', 'HurricaneIan']",0,0,https://twitter.com/HarryB808080/status/1575917350263455744
53,doc_54,cloud hurricaneian visibl cleveland oh ryanhallyal,robertsslindsay,Fri Sep 30 18:35:42 +0000 2022,['HurricaneIan'],0,0,https://twitter.com/robertsslindsay/status/1575917319662219264
54,doc_55,dark mean usual time power went hurricaneian,podkaynelives,Fri Sep 30 18:35:39 +0000 2022,['HurricaneIan'],1,0,https://twitter.com/podkaynelives/status/1575917305137356800
55,doc_56,hurrican ian track inland time look recoveri effort check latest blog inform next ian tropicalstormian hurricaneian tropicalstorm hurrican hurricaneseason hurricaneseason2022,RiskStrategies,Fri Sep 30 18:35:38 +0000 2022,"['ian', 'Tropicalstormian', 'hurricaneian', 'tropicalstorm', 'hurricane', 'hurricaneseason', 'hurricaneseason2022']",0,0,https://twitter.com/RiskStrategies/status/1575917302377332775
56,doc_57,help resid emerg personnel stay connect hurricaneian comcast open free xfiniti wifi hotspot central north southwest panhandl florida xfiniti custom amp noncustom connect visit,HC_Ready,Fri Sep 30 18:35:33 +0000 2022,['HurricaneIan'],0,0,https://twitter.com/HC_Ready/status/1575917281514864660
57,doc_58,hurricaneian latest updat storm make second u landfal south carolina,Ingvald1,Fri Sep 30 18:35:32 +0000 2022,['HurricaneIan'],0,0,https://twitter.com/Ingvald1/status/1575917276725153792
58,doc_59,heard rgeaux call corpor america step suppli florida support first respond volunt victim bottl water food ice first aid suppli cmon walmart target walgreen sysco hurricaneian,JillLoew,Fri Sep 30 18:35:28 +0000 2022,['HurricaneIan'],0,0,https://twitter.com/JillLoew/status/1575917257749766144
59,doc_60,uu fl urgent need support suppli wake hurricaneian consid donat congreg sunday collect uua disast relief fund help u respond,sfrederickgray,Fri Sep 30 18:35:20 +0000 2022,"['FL', 'HurricaneIan']",0,0,https://twitter.com/sfrederickgray/status/1575917226527686656
60,doc_61,son got line get fuel 10am mornin reach station pump yet ga gaug 0 mile empti last hour hurricaneian,Beast502Mode,Fri Sep 30 18:35:16 +0000 2022,['HurricaneIan'],2,1,https://twitter.com/Beast502Mode/status/1575917209859551232
61,doc_62,corpor offic spare worst hurricaneian heart go florida southwest coast reach rep need water suppli could use hand cleanup helphttpstcowlwsbpn2si,HarrellsLLC,Fri Sep 30 18:35:12 +0000 2022,['HurricaneIan'],0,0,https://twitter.com/HarrellsLLC/status/1575917192633368588
62,doc_63,hurrican ian toll florida lee countyhurricaneian floridaflood2022 leecountyflood ian,NTVAmericaLive,Fri Sep 30 18:35:10 +0000 2022,"['hurricaneian', 'floridaflood2022', 'Leecountyflood', 'Ian']",0,0,https://twitter.com/NTVAmericaLive/status/1575917184655974402
63,doc_64,photo lee counti sheriff departmentfloridastrong hurricaneianpodcast radio talkradio talkshow polic sheriff trooper truecrim trauma pt ptsd letpodcast letradioshow,JohnWil21815218,Fri Sep 30 18:35:09 +0000 2022,"['FloridaStrong', 'HurricaneIan', 'podcast', 'radio', 'talkradio', 'talkshow', 'police', 'Sheriff', 'Trooper', 'TrueCrime', 'trauma', 'PTS', 'PTSD', 'LETpodcast', 'LetRadioShow']",0,0,https://twitter.com/JohnWil21815218/status/1575917180113207296
64,doc_65,south carolina offici messag citizen path hurricaneian get stay road storm past coastal town experienc floodingcharleston georgetown southcarolina ian,Jasamsdestiny,Fri Sep 30 18:35:06 +0000 2022,"['HurricaneIan', 'Charleston', 'Georgetown', 'SouthCarolina', 'Ian']",0,0,https://twitter.com/Jasamsdestiny/status/1575917165831589890
65,doc_66,hurricaneian south carolina lowcountri coast risk stormsurg flood stay safe folk noaa nw,usharbors,Fri Sep 30 18:35:03 +0000 2022,"['HurricaneIan', 'LowCountry', 'StormSurge', 'flooding']",0,0,https://twitter.com/usharbors/status/1575917156734320663
66,doc_67,depressingli time florida potenti southeast state like nc long road ahead hurricaneian recoveri open access dm would like copythank endlessli noraschwal help get across finish line 44,lcampbell401,Fri Sep 30 18:35:03 +0000 2022,['HurricaneIan'],0,0,https://twitter.com/lcampbell401/status/1575917153777483776
67,doc_68,ok bulli alyssa help one let girl get one natur disast mean dayum problemat pleas show modicum merci hurricaneian bb24 bbtwitter bigbrother24,TaFurious,Fri Sep 30 18:35:02 +0000 2022,"['HurricaneIan', 'bb24', 'BBTwitter', 'BigBrother24']",0,0,https://twitter.com/TaFurious/status/1575917149356691457
68,doc_69,ho ly smoke hurricaneian prayforflorida pleasedon,959TheRiver,Fri Sep 30 18:35:00 +0000 2022,"['HurricaneIan', 'PrayForFlorida', 'PleaseDonate']",0,0,https://twitter.com/959TheRiver/status/1575917141760655367
69,doc_70,love florida govrondesanti hurricaneian,MomAgainstMedia,Fri Sep 30 18:35:00 +0000 2022,"['Florida', 'HurricaneIan']",1,0,https://twitter.com/MomAgainstMedia/status/1575917141068742657
70,doc_71,left pawley island pier toss around rough surf hurricaneian,DoughertyJC,Fri Sep 30 18:34:59 +0000 2022,['HurricaneIan'],0,0,https://twitter.com/DoughertyJC/status/1575917138803838976
71,doc_72,photo lee counti sheriff departmentfloridastrong hurricaneianpodcast radio talkradio talkshow polic sheriff trooper truecrim trauma pt ptsd letpodcast letradioshow,LETRadioShowPo1,Fri Sep 30 18:34:58 +0000 2022,"['FloridaStrong', 'HurricaneIan', 'podcast', 'radio', 'talkradio', 'talkshow', 'police', 'Sheriff', 'Trooper', 'TrueCrime', 'trauma', 'PTS', 'PTSD', 'LETpodcast', 'LetRadioShow']",0,0,https://twitter.com/LETRadioShowPo1/status/1575917134668234753
72,doc_73,nashvillian understand floridian deal follow hurricaneian time natur disast come togeth help thank redcrosstn wkrn host relief telethon last 6 pm call 8776864483visit,JohnCooper4Nash,Fri Sep 30 18:34:57 +0000 2022,['HurricaneIan'],2,2,https://twitter.com/JohnCooper4Nash/status/1575917131564097536
73,doc_74,timelaps show devast storm surg hurrican ian fort myer floridahttpstcoug72qvxncfhurricaneian ianhurrican hurricanian hurricanefiona hellojimtob florida miami cuba keywest ian,NFT_Dreaming,Fri Sep 30 18:34:53 +0000 2022,"['HurricaneIan', 'IanHurricane', 'HurricanIan', 'HurricaneFiona', 'HelloJimtober', 'Florida', 'miami', 'Cuba', 'KeyWest', 'Ian']",0,0,https://twitter.com/NFT_Dreaming/status/1575917111331151872
74,doc_75,sc hurricaneian prep sscdotpress 2100 peopl readi goscnationalguard 90 activ servicemembersscdhec done 41 prestorm dam assess 136 staff mobilizedthesunnew thestat,AdamNewshound12,Fri Sep 30 18:34:52 +0000 2022,['HurricaneIan'],1,1,https://twitter.com/AdamNewshound12/status/1575917108092977207
75,doc_76,offici hurricaneian offici ashor sc,BristowatHome,Fri Sep 30 18:34:50 +0000 2022,['HurricaneIan'],0,0,https://twitter.com/BristowatHome/status/1575917099532578817
76,doc_77,endwok joyvbehar joyannreid 2 pathet heartless disgust evil witch theview msnbc hurricaneian,TonyBrunoShow,Fri Sep 30 18:34:44 +0000 2022,['HurricaneIan'],0,0,https://twitter.com/TonyBrunoShow/status/1575917076534857729
77,doc_78,florida strong look way help floridian affect hurrican ian pleas visit text disast 20222thepalmbeach hurricaneian pbcdem redcross salvationarmyu,RobertWeinroth,Fri Sep 30 18:34:34 +0000 2022,"['ThePalmBeaches', 'HurricaneIan']",0,0,https://twitter.com/RobertWeinroth/status/1575917031911608320
78,doc_79,view hurrican ian destruct florida west coasthttpstcorurc0dhqsihurricaneian ianhurrican hurricanian hurricanefiona hellojimtob florida miami cuba keywest ian,NFT_Promoter,Fri Sep 30 18:34:33 +0000 2022,"['HurricaneIan', 'IanHurricane', 'HurricanIan', 'HurricaneFiona', 'HelloJimtober', 'Florida', 'miami', 'Cuba', 'KeyWest', 'Ian']",0,0,https://twitter.com/NFT_Promoter/status/1575917030532067328
79,doc_80,grate aliv friend famili okay reach famili 3 18 student check pray babi safe ian hurricaneian,MsHernandezPaz,Fri Sep 30 18:34:24 +0000 2022,"['ian', 'HurricaneIan']",0,0,https://twitter.com/MsHernandezPaz/status/1575916990795247617
80,doc_81,usarmi louisiana nation guard send assist florida hurricaneianusnationalguard,sfcdavidpeters,Fri Sep 30 18:34:22 +0000 2022,"['Florida', 'HurricaneIan']",0,0,https://twitter.com/sfcdavidpeters/status/1575916984713232384
81,doc_82,hurricaneian made landfal south carolina charleston tree down roof hotel rip thenationalnew,willy_lowry,Fri Sep 30 18:34:21 +0000 2022,"['Hurricaneian', 'Charleston']",2,1,https://twitter.com/willy_lowry/status/1575916977717141504
82,doc_83,swell produc hurricaneian combin tide run 10 inch noaa predict led danger incid miamibeach todaykingtid sealevelris ian,JohnMoralesTV,Fri Sep 30 18:34:13 +0000 2022,"['HurricaneIan', 'MiamiBeach', 'KingTide', 'SeaLevelRise', 'Ian']",17,11,https://twitter.com/JohnMoralesTV/status/1575916945857470464
83,doc_84,hate ypu hurricaneian,janemiami,Fri Sep 30 18:34:12 +0000 2022,['HurricaneIan'],0,0,https://twitter.com/janemiami/status/1575916940979482625
84,doc_85,hurrican ian myrtl beach 230 hurricaneian lookner ryanhallyal,LynneGMB,Fri Sep 30 18:34:11 +0000 2022,['hurricaneian'],1,0,https://twitter.com/LynneGMB/status/1575916936373870592
85,doc_86,former student young adult life fort meyer fl type 1 diabet cannot get ice keep insulin cool anyon resourc inform may help hurricaneian florida diabet,StefLCSW,Fri Sep 30 18:34:09 +0000 2022,"['HurricaneIan', 'florida', 'diabetes']",0,0,https://twitter.com/StefLCSW/status/1575916926974316544
86,doc_87,break hurricaneian made 4th landfal near georgetown scwx cat 1 hurricanenews12weath stormhour ian,AWxNYC,Fri Sep 30 18:34:06 +0000 2022,"['HurricaneIan', 'SCwx', 'StormHour', 'Ian']",5,14,https://twitter.com/AWxNYC/status/1575916915301548032
87,doc_88,natur disast hurrican earthquak capabl caus death destruct catastroph recent storm includ hurrican ian could caus trauma impact area hurricaneian,UnitedBrainAssn,Fri Sep 30 18:34:05 +0000 2022,"['ptsd', 'hurricaneian']",0,0,https://twitter.com/UnitedBrainAssn/status/1575916909886840832
88,doc_89,colliercounti regist fema appli individu hurricaneian assistanceregist onlin download fema app addit assist call 8006213362,CollierGov,Fri Sep 30 18:34:01 +0000 2022,"['CollierCounty', 'HurricaneIan']",0,1,https://twitter.com/CollierGov/status/1575916895768920079
89,doc_90,help church suffer great loss florida carolina pleas go tap hurrican ian disast relief banner contribut hurricaneian bimi reseedingamer,ReseedingAmeric,Fri Sep 30 18:34:01 +0000 2022,"['HurricaneIan', 'BIMI', 'reseedingameric']",0,0,https://twitter.com/ReseedingAmeric/status/1575916894309138432
90,doc_91,facebook post claim peopl get 3k help hurrican ian cleanup legit wthrcom hurricaneian verifi tegna,AnneMarieWTHR,Fri Sep 30 18:34:00 +0000 2022,"['HurricaneIan', 'Verify', 'Tegna']",1,0,https://twitter.com/AnneMarieWTHR/status/1575916890488119296
91,doc_92,wow storm surg ian scwx hurricaneian,ant_wx,Fri Sep 30 18:33:59 +0000 2022,"['Ian', 'scwx', 'HurricaneIan']",0,0,https://twitter.com/ant_wx/status/1575916885748908032
92,doc_93,bbcmundo video aerial fort myer cape coral bonita spring sanibel hurrican ianhurricaneian ianhttpstcoyc9rgbe78n,chriskreitzer2,Fri Sep 30 18:33:56 +0000 2022,"['HurricaneIan', 'Ian']",2,0,https://twitter.com/chriskreitzer2/status/1575916874025472000
93,doc_94,made miami hardli seen rain chase bag peopl say everybodi said go hurricaneian,EddieMack908,Fri Sep 30 18:33:54 +0000 2022,['hurricaneIan'],0,0,https://twitter.com/EddieMack908/status/1575916866622525440
94,doc_95,hurricaneian got power make lil wave cooper river power 2 hour branch keep hit roof keep lose shingl cleanup tomorrow fun still safe peopl got storm perspect,DeeCeeTalks,Fri Sep 30 18:33:52 +0000 2022,"['HurricaneIan', 'perspective']",0,0,https://twitter.com/DeeCeeTalks/status/1575916855276933121
95,doc_96,mani swfl landmark gone ripdom peaceandpray friend famili lost home amp hurricaneian swflstrongflorida hurrican caperomano,ExistSlowly,Fri Sep 30 18:33:50 +0000 2022,"['SWFL', 'RIPDomes', 'PeaceAndPrayers', 'HurricaneIan', 'SWFLStrong', 'Florida', 'Hurricane', 'CapeRomano']",0,0,https://twitter.com/ExistSlowly/status/1575916847542996992
96,doc_97,florida farm bureau staff meet leadership across state discu hurrican recoveri effort earli damag assess hurricaneian rootedinresili,FlaFarmBureau,Fri Sep 30 18:33:46 +0000 2022,"['HurricaneIan', 'RootedInResilience']",1,0,https://twitter.com/FlaFarmBureau/status/1575916831164223488
97,doc_98,someth beat hurricaneian weather eagl meet dacu ye right dacu winthropu alumna cynthia smoak 98 sever pet name campu build dacu newest addit cannot wait meet namesak,dacuslibrary,Fri Sep 30 18:33:44 +0000 2022,['HurricaneIan'],0,0,https://twitter.com/dacuslibrary/status/1575916821777031168
98,doc_99,track hurrican ian make way across virginia rvawx vawx weather hurricaneian,thewxobserver,Fri Sep 30 18:33:43 +0000 2022,"['rvawx', 'vawx', 'weather', 'HurricaneIan']",0,0,https://twitter.com/thewxobserver/status/1575916820900581376
99,doc_100,final ian charley comparison heatherzweath promis nearli ident landfal point fl hurricaneian second landfal georgetown sc 24 mile charley landfal scweatherchannel,Jason_Disharoon,Fri Sep 30 18:33:40 +0000 2022,"['Ian', 'HurricaneIan']",5,1,https://twitter.com/Jason_Disharoon/status/1575916807927795712
